class,biome,d13C,d15N
Mammalia,Atlantic,-26.22,4.81
Mammalia,Atlantic,-26.46,4.31
Mammalia,Atlantic,-26.69,5.88
Mammalia,Atlantic,-27.03,5.24
Mammalia,Atlantic,-27.36,3.71
Mammalia,Atlantic,-27.77,3.54
Mammalia,Atlantic,-27.79,4.59
Mammalia,Atlantic,-28.09,5.34
Mammalia,Atlantic,-13.08,11.41
Mammalia,Atlantic,-26.56,6.87
Mammalia,Atlantic,-25.27,7.32
Mammalia,Atlantic,-24.42,8.36
Mammalia,Atlantic,-20.13,6.3
Mammalia,Atlantic,-18.56,5.57
Mammalia,Atlantic,-16.93,5.67
Mammalia,Atlantic,-16.77,5.93
Mammalia,Atlantic,-16.55,6.33
Mammalia,Atlantic,-18.17,6.49
Mammalia,Atlantic,-28.6,4.71
Mammalia,Atlantic,-26.31,4.67
Mammalia,Atlantic,-26.68,5.43
Mammalia,Atlantic,-26.42,5.76
Mammalia,Atlantic,-28.42,2.98
Mammalia,Atlantic,-25.61,4.98
Mammalia,Atlantic,-25.74,6
Mammalia,Atlantic,-27.6,6.95
Mammalia,Cerrado,-27.84,3.21
Mammalia,Cerrado,-16.54,6.99
Mammalia,Cerrado,-24.57,4.92
Mammalia,Cerrado,-23.73,6.68
Mammalia,Cerrado,-22.78,6.13
Mammalia,Cerrado,-19.46,5.33
Mammalia,Cerrado,-18.43,6.31
Mammalia,Cerrado,-20.58,4.67
Mammalia,Cerrado,-27.24,1.54
Mammalia,Cerrado,-25.6,2.48
Mammalia,Cerrado,-25.59,4.27
Mammalia,Cerrado,-27.55,2.32
Mammalia,Cerrado,-27.15,4.6
Mammalia,Cerrado,-25.56,3.46
Mammalia,Cerrado,-26.05,5.77
Mammalia,Cerrado,-26.3,3.86
Mammalia,Cerrado,-27.16,5.6
Mammalia,Atlantic,-23.15,5.54
Mammalia,Atlantic,-28.37,2.28
Mammalia,Atlantic,-23.56,4.58
Mammalia,Atlantic,-14.85,5.68
Mammalia,Atlantic,-20.22,5.12
Mammalia,Cerrado,-33.22,3.29
Mammalia,Cerrado,-31.21,1.95
Mammalia,Atlantic,-30.79,0.31
Mammalia,Atlantic,-29.18,0.5
Mammalia,Cerrado,-27.82,3.51
Mammalia,Atlantic,-26.39,0.6
Mammalia,Atlantic,-24.57,-1.1
Mammalia,Cerrado,-23.2,8.34
Mammalia,Atlantic,-19.69,2.01
Mammalia,Cerrado,-17.61,6.83
Mammalia,Atlantic,-15.45,3.56
Mammalia,Atlantic,-26.37,1.35
Mammalia,Atlantic,-29.21,2.86
Mammalia,Cerrado,-26.46,4.39
Mammalia,Cerrado,-22.86,3.6
Mammalia,Cerrado,-18.43,3.13
Mammalia,Cerrado,-13.66,2.65
Mammalia,Cerrado,-14.31,2.08
Mammalia,Cerrado,-18.83,0.37
Mammalia,Cerrado,-14.72,2.34
Mammalia,Cerrado,-13.1,1.66
Mammalia,Cerrado,-14.64,5.14
Mammalia,Cerrado,-14.05,2.38
Mammalia,Cerrado,-15.15,1.87
Mammalia,Cerrado,-26.55,4.7
Mammalia,Cerrado,-24.17,5.38
Mammalia,Cerrado,-22.24,3.2
Mammalia,Cerrado,-15.22,4
Mammalia,Cerrado,-25.65,4.93
Mammalia,Cerrado,-15.68,4
Mammalia,Cerrado,-13.84,6.8
Mammalia,Cerrado,-27.12,2.76
Mammalia,Cerrado,-12.84,1.26
Mammalia,Cerrado,-13.39,3.75
Mammalia,Cerrado,-12.91,1.02
Mammalia,Cerrado,-14,2.87
Mammalia,Cerrado,-16.33,1.94
Mammalia,Cerrado,-11.81,5.32
Mammalia,Cerrado,-12.93,2.02
Mammalia,Cerrado,-23.41,3.6
Mammalia,Cerrado,-23.08,5.9
Mammalia,Cerrado,-12.88,2.12
Mammalia,Cerrado,-15.7,1.48
Mammalia,Cerrado,-14.64,4.63
Mammalia,Cerrado,-23.86,2.97
Mammalia,Cerrado,-24.92,1.68
Mammalia,Cerrado,-14.41,3.89
Mammalia,Cerrado,-25.02,1.83
Mammalia,Cerrado,-14.49,1.73
Mammalia,Cerrado,-13.56,0.82
Mammalia,Cerrado,-26.9,1.97
Mammalia,Cerrado,-24.39,2.46
Mammalia,Cerrado,-13.8,3.57
Mammalia,Cerrado,-13.51,3.17
Mammalia,Cerrado,-17.03,5.66
Mammalia,Cerrado,-16.29,1.57
Mammalia,Cerrado,-16.31,5.97
Mammalia,Cerrado,-13.95,1.03
Mammalia,Cerrado,-15.2,4
Mammalia,Cerrado,-15.23,2.86
Mammalia,Cerrado,-17.79,4.03
Mammalia,Cerrado,-28.47,3.22
Mammalia,Cerrado,-26.84,6.1
Mammalia,Atlantic,-13.91,1.6
Mammalia,Atlantic,-26.81,-1.03
Mammalia,Amazon,-22.15,6.89
Mammalia,Atlantic,-16.17,6.64
Mammalia,Atlantic,-27.85,5.21
Mammalia,Atlantic,-27.51,6.2
Mammalia,Atlantic,-27.76,6.81
Mammalia,Atlantic,-27.57,5.94
Mammalia,Atlantic,-28.11,6.43
Mammalia,Atlantic,-27.47,7.14
Mammalia,Atlantic,-27.63,5.4
Mammalia,Atlantic,-27.92,5.78
Mammalia,Atlantic,-27.91,5.74
Mammalia,Atlantic,-27.79,6.09
Mammalia,Atlantic,-27.34,6.48
Mammalia,Amazon,-27.82,4.05
Mammalia,Amazon,-28.03,4.18
Mammalia,Amazon,-28.27,4.3
Mammalia,Amazon,-28.43,2.93
Mammalia,Amazon,-27.6,3.8
Mammalia,Amazon,-28.95,4.35
Mammalia,Amazon,-27.53,3.82
Mammalia,Amazon,-28.93,2.11
Mammalia,Amazon,-27.07,3.27
Mammalia,Amazon,-25.2,3.46
Mammalia,Amazon,-28.24,2.96
Mammalia,Amazon,-28.31,3.58
Mammalia,Amazon,-29.3,3.21
Mammalia,Amazon,-27.97,3.6
Mammalia,Amazon,-27.27,1.27
Mammalia,Amazon,-28.54,6.74
Mammalia,Amazon,-29.27,7.48
Mammalia,Amazon,-28.88,3.01
Mammalia,Amazon,-28.58,5.96
Mammalia,Amazon,-29.53,2.28
Mammalia,Amazon,-29.3,1.43
Mammalia,Cerrado,-22.77,1.43
Mammalia,Cerrado,-16.37,0.08
Mammalia,Cerrado,-14.05,-0.42
Mammalia,Cerrado,-17.15,2.18
Mammalia,Cerrado,-23.02,0.11
Mammalia,Cerrado,-15.74,4.52
Mammalia,Cerrado,-22.28,2.43
Mammalia,Cerrado,-16.83,1.49
Mammalia,Cerrado,-25.58,1.4
Mammalia,Cerrado,-24.42,4.33
Mammalia,Cerrado,-18.49,-1.76
Mammalia,Cerrado,-19.76,3.79
Mammalia,Cerrado,-18.91,0.88
Mammalia,Cerrado,-15.41,4.98
Mammalia,Cerrado,-12.07,5.94
Mammalia,Cerrado,-12.62,6.91
Mammalia,Cerrado,-25.87,0.86
Mammalia,Cerrado,-24.35,-0.26
Mammalia,Cerrado,-25.2,0.59
Mammalia,Atlantic,-26.31,1.52
Mammalia,Amazon,-27.76,1.11
Mammalia,Amazon,-27.99,-0.14
Mammalia,Amazon,-25.43,6.67
Mammalia,Amazon,-27.1,0.09
Mammalia,Amazon,-24.18,6.24
Mammalia,Amazon,-30.78,-0.38
Mammalia,Amazon,-27.1,0.78
Mammalia,Amazon,-27.2,0.9
Mammalia,Amazon,-25.82,2.63
Mammalia,Amazon,-26.17,3.7
Mammalia,Amazon,-23.97,6.49
Mammalia,Amazon,-24.65,5.89
Mammalia,Amazon,-29.99,-1.96
Mammalia,Amazon,-25.48,4.67
Mammalia,Amazon,-26.69,4.94
Mammalia,Amazon,-27.58,4.23
Mammalia,Amazon,-26.01,4.61
